Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
11463,PRESTON ST @ PRINCE OF WALES DR/QUEEN ELIZABET,366899.7082,5028777.886,-75.70684,45.39619,2017-04-08,2:47:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,The Glebe
11464,PRESTON ST @ PRINCE OF WALES DR/QUEEN ELIZABET,366900.3771,5028777.217,-75.70683,45.39618,2017-02-23,6:13:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,03 - Rear end,The Glebe
11465,PRESTON ST @ PRINCE OF WALES DR/QUEEN ELIZABET,366900.7115,5028776.548,-75.70682,45.39617,2017-09-12,9:20:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,The Glebe
11466,PRESTON ST @ PRINCE OF WALES DR/QUEEN ELIZABET,366900.2381,5028777.731,-75.70683,45.39618,2017-12-21,4:00:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,05 - Dusk,03 - P.D. only,03 - Rear end,The Glebe
11467,PRESTON ST @ SIDNEY ST,366809.9522,5028986.007,-75.70796,45.39807,2017-06-23,4:43:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Little Italy
11468,PRESTON ST @ SIDNEY ST,366810.0344,5028985.61,-75.70796,45.39806,2017-01-23,11:14:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Little Italy
11469,PRESTON ST @ SOMERSET ST,366307.1522,5030127.022,-75.71424,45.40838,2017-09-28,5:00:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Little Italy
11470,PRESTON ST @ SOMERSET ST,366306.6057,5030127.569,-75.71424,45.40838,2017-10-05,5:53:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Little Italy
11471,PRESTON ST @ SOMERSET ST,366307.6986,5030127.568,-75.71423,45.40838,2017-11-28,5:54:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,Little Italy
11472,PRESTON ST @ SPRUCE ST,366275.157,5030200.566,-75.71464,45.40904,2017-10-08,1:51:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Little Italy
11473,PRESTON ST @ ST. ANTHONY ST,366555.7008,5029561.803,-75.71113,45.40327,2017-09-16,3:30:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Little Italy
11474,PRESTON ST @ ST. ANTHONY ST,366555.7008,5029562.281,-75.71113,45.40327,2017-12-08,11:30:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Little Italy
11475,PRESTON ST @ ST. ANTHONY ST,366556.0353,5029561.564,-75.71113,45.40327,2017-11-26,6:40:00 PM,03 - Snow,04 - Slush,02 - Stop sign,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Little Italy
11476,PRESTON ST @ WILLOW ST,366424.698,5029862.901,-75.71277,45.40599,2017-04-21,7:00:00 AM,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Little Italy
11477,PRESTON ST btwn ALBERT ST & PRIMROSE AVE,366180.4294,5030419.086,-75.71582,45.41102,2017-11-10,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Little Italy
11478,PRESTON ST btwn BALSAM ST & GLADSTONE AVE,366472.8533,5029752.202,-75.71217,45.40499,2017-02-21,11:51:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Little Italy
11479,PRESTON ST btwn CARLING AVE & PRINCE OF WALES DR,366888.0894,5028794.855,-75.70698,45.39634,2017-02-11,12:45:00 PM,03 - Snow,04 - Slush,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,The Glebe
11480,PRESTON ST btwn GEORGE ST W & ABERDEEN ST,366621.4695,5029411.042,-75.71031,45.40191,2017-06-26,5:40:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Little Italy
11481,PRESTON ST btwn NORMAN ST & PAMILLA ST,366738.3353,5029141.966,-75.70885,45.39948,2017-12-01,2:56:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,Little Italy
11482,PRESTON ST btwn SIDNEY ST & CARLING AVE,366818.1485,5028965.443,-75.70785,45.39788,2017-12-09,12:00:00 AM,03 - Snow,02 - Wet,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Little Italy
11483,PRESTONE DR @ ST. JOSEPH BLVD,382326.0789,5038274.923,-75.50834,45.48009,2017-06-24,11:00:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Queenswood Heights
11484,PRESTONE DR @ ST. JOSEPH BLVD,382326.0789,5038274.254,-75.50834,45.48009,2017-04-23,1:57:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Queenswood Heights
11485,PRESTONE DR btwn LEFEBVRE WAY & HATFIELD CRES,382895.9225,5037647.697,-75.50115,45.47439,2017-04-12,10:44:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Queenswood Heights
11486,PRETORIA AVE @ QUEEN ELIZABETH DRWY,368664.1499,5030431.309,-75.68409,45.4109,2017-03-01,6:30:00 PM,01 - Clear,02 - Wet,10 - No control,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,The Glebe
11487,PRETORIA AVE @ QUEEN ELIZABETH DRWY,368663.9649,5030430.449,-75.68409,45.4109,2017-12-21,2:16:00 PM,01 - Clear,02 - Wet,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,The Glebe
11488,PRETORIA AVE btwn METCALFE ST & ELGIN ST,368516.8424,5030346.543,-75.68598,45.41015,2017-06-22,11:54:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,The Glebe
11489,PRIMROSE AVE btwn PRESTON ST & ROCHESTER ST,366324.4907,5030397.811,-75.71398,45.41081,2017-06-21,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Centretown West
11490,PRINCE ALBERT ST btwn EDITH AVE & LOLA ST,371113.1091,5031968.973,-75.6526,45.42451,2017-01-31,12:00:00 AM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Overbrook
11491,PRINCE ALBERT ST btwn FRANCES ST & ISIDORE ST,371613.8542,5032027.485,-75.64619,45.42499,2017-04-12,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Overbrook
11492,PRINCE ALBERT ST btwn ISIDORE ST & BERNARD ST,371796.4166,5032046.076,-75.64386,45.42514,2017-04-02,9:15:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,Overbrook
11493,PRINCE ALBERT ST btwn LOLA ST & NAUGHTON ST,371302.9657,5031992.189,-75.65017,45.4247,2017-03-14,2:49:00 PM,03 - Snow,03 - Loose snow,10 - No control,04 - At/near private drive,01 - Daylight,02 - Non-fatal injury,02 - Angle,Overbrook
11494,PRINCE ALBERT ST btwn MARION AVE & END,370338.6301,5031883.01,-75.6625,45.42381,2017-04-21,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Overbrook
11495,PRINCE ALBERT ST btwn NAUGHTON ST & FRANCES ST,371496.5363,5032014.508,-75.64769,45.42488,2017-10-13,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Overbrook
11496,PRINCE ALBERT ST btwn NAUGHTON ST & FRANCES ST,371461.2013,5032011.384,-75.64814,45.42486,2017-10-05,12:00:00 AM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Overbrook
11497,PRINCE OF WALES DR @ FAIRPARK DR,367269.3755,5015413.028,-75.7038,45.2759,2017-08-08,5:15:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Greenbelt
11498,PRINCE OF WALES DR @ FAIRPARK DR,367269.2954,5015414.773,-75.7038,45.27591,2017-09-20,5:05:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Greenbelt
11499,PRINCE OF WALES DR @ FAIRPARK DR,367270.5213,5015413.945,-75.70379,45.27591,2017-11-20,12:47:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Greenbelt
11500,PRINCE OF WALES DR @ FALAISE RD/KOCHAR DR N,367459.7506,5024905.709,-75.70018,45.3613,2017-09-21,8:14:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Carleton Heights - Rideauview
11501,PRINCE OF WALES DR @ FALAISE RD/KOCHAR DR N,367461.2529,5024904.514,-75.70016,45.36128,2017-10-02,4:19:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Carleton Heights - Rideauview
11502,PRINCE OF WALES DR @ FALAISE RD/KOCHAR DR N,367460.7064,5024904.751,-75.70016,45.36129,2017-12-05,6:11:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Carleton Heights - Rideauview
11503,PRINCE OF WALES DR @ FALLOWFIELD RD,367399.3756,5019167.139,-75.70167,45.30967,2017-04-29,6:25:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Greenbelt
11504,PRINCE OF WALES DR @ FALLOWFIELD RD,367402.2851,5019166.47,-75.70163,45.30966,2017-01-05,11:44:00 AM,03 - Snow,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11505,PRINCE OF WALES DR @ FALLOWFIELD RD,367399.3756,5019165.801,-75.70167,45.30965,2017-03-06,7:55:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11506,PRINCE OF WALES DR @ FALLOWFIELD RD,367398.9595,5019167.596,-75.70168,45.30967,2017-02-19,3:03:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Greenbelt
11507,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367371.5845,5025692.808,-75.7012,45.36839,2017-05-21,11:32:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,02 - Angle,Carleton Heights - Rideauview
11508,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367373.849,5025693.477,-75.70117,45.36839,2017-06-16,6:43:00 AM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Carleton Heights - Rideauview
11509,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367371.4455,5025694.187,-75.7012,45.3684,2017-09-25,11:01:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Carleton Heights - Rideauview
11510,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367372.8747,5025693.238,-75.70118,45.36839,2017-11-02,8:58:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Carleton Heights - Rideauview
11511,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367372.2534,5025694.146,-75.70119,45.3684,2017-11-18,1:54:00 PM,04 - Freezing Rain,06 - Ice,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Carleton Heights - Rideauview
11512,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367371.9189,5025693.716,-75.7012,45.36839,2017-11-08,6:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,04 - Sideswipe,Carleton Heights - Rideauview
11513,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367372.2534,5025693.477,-75.70119,45.36839,2017-02-20,2:44:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Carleton Heights - Rideauview
11514,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367372.9222,5025692.808,-75.70118,45.36838,2017-04-06,6:23:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Carleton Heights - Rideauview
11515,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367372.4284,5025691.439,-75.70119,45.36837,2017-04-15,4:30:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Carleton Heights - Rideauview
11516,PRINCE OF WALES DR @ MEADOWLANDS DR/HOG'S BACK,367372.4785,5025692.297,-75.70119,45.36838,2017-12-22,2:16:00 PM,01 - Clear,04 - Slush,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Carleton Heights - Rideauview
11517,PRINCE OF WALES DR @ MERIVALE RD,367449.7113,5017615.179,-75.70123,45.2957,2017-07-26,12:59:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Greenbelt
11518,PRINCE OF WALES DR @ MERIVALE RD,367449.2379,5017616.697,-75.70123,45.29571,2017-08-25,9:51:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Greenbelt
11519,PRINCE OF WALES DR @ MERIVALE RD,367448.708,5017616.461,-75.70124,45.29571,2017-06-30,5:10:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11520,PRINCE OF WALES DR @ MERIVALE RD,367450.2578,5017616.461,-75.70122,45.29571,2017-01-20,2:50:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11521,PRINCE OF WALES DR @ MERIVALE RD,367451.3835,5017615.123,-75.7012,45.2957,2017-04-04,2:43:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Greenbelt
11522,PRINCE OF WALES DR @ MERIVALE RD,367450.0458,5017615.123,-75.70122,45.2957,2017-04-11,10:16:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11523,PRINCE OF WALES DR @ MERIVALE RD,367450.7146,5017617.13,-75.70121,45.29571,2017-04-02,5:20:00 AM,"07 - Fog, mist, smoke, dust",02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,Greenbelt
11524,PRINCE OF WALES DR @ MERIVALE RD,367451.3835,5017616.461,-75.7012,45.29571,2017-03-06,10:55:00 PM,04 - Freezing Rain,06 - Ice,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,07 - SMV other,Greenbelt
11525,PRINCE OF WALES DR @ NORMANDY CRES S/KOCHAR DR,367445.8071,5024562.747,-75.7004,45.35821,2017-05-12,4:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Carleton Heights - Rideauview
11526,PRINCE OF WALES DR @ NORMANDY CRES S/KOCHAR DR,367445.7057,5024562.521,-75.7004,45.35821,2017-06-21,4:12:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Carleton Heights - Rideauview
11527,PRINCE OF WALES DR @ NORMANDY CRES S/KOCHAR DR,367446.9047,5024562.368,-75.70038,45.35821,2017-09-06,8:16:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Carleton Heights - Rideauview
11528,PRINCE OF WALES DR @ NORMANDY CRES S/KOCHAR DR,367446.3897,5024562.324,-75.70039,45.35821,2017-01-20,10:15:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Carleton Heights - Rideauview
11529,PRINCE OF WALES DR @ NORMANDY CRES/MELFA CRES,367427.3182,5025223.466,-75.70055,45.36416,2017-06-08,8:27:00 AM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Carleton Heights - Rideauview
11530,PRINCE OF WALES DR @ RIDEAU SHORE CRT,367236.4592,5023622.135,-75.70319,45.34977,2017-02-08,7:00:00 PM,01 - Clear,03 - Loose snow,02 - Stop sign,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,Industrial Park
11531,PRINCE OF WALES DR @ SANFORD AVE,366803.2756,5026129.249,-75.7084,45.37236,2017-12-10,2:48:00 PM,03 - Snow,03 - Loose snow,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle,Civic Hospital - Experimental Farm - Central Park
11532,PRINCE OF WALES DR @ SANFORD AVE,366804.8189,5026128.765,-75.70838,45.37236,2017-12-25,4:03:00 PM,03 - Snow,06 - Ice,02 - Stop sign,03 - At intersection,05 - Dusk,03 - P.D. only,07 - SMV other,Civic Hospital - Experimental Farm - Central Park
11533,PRINCE OF WALES DR @ STRANDHERD DR,367174.9554,5014824.191,-75.70508,45.27061,2017-06-02,3:41:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11534,PRINCE OF WALES DR @ STRANDHERD DR,367174.9554,5014822.853,-75.70508,45.2706,2017-06-26,7:11:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Greenbelt
11535,PRINCE OF WALES DR @ STRANDHERD DR,367175.6243,5014824.191,-75.70507,45.27061,2017-06-04,12:59:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Greenbelt
11536,PRINCE OF WALES DR @ STRANDHERD DR,367175.8913,5014825.093,-75.70507,45.27062,2017-08-08,5:56:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11537,PRINCE OF WALES DR @ STRANDHERD DR,367175.7677,5014824.43,-75.70507,45.27061,2017-10-30,7:25:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11538,PRINCE OF WALES DR @ STRANDHERD DR,367175.7632,5014823.008,-75.70507,45.2706,2017-09-26,7:17:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,03 - Dawn,03 - P.D. only,03 - Rear end,Greenbelt
11539,PRINCE OF WALES DR @ STRANDHERD DR,367174.334,5014823.952,-75.70509,45.27061,2017-09-14,2:51:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11540,PRINCE OF WALES DR @ STRANDHERD DR,367175.2898,5014823.481,-75.70508,45.2706,2017-10-22,5:21:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11541,PRINCE OF WALES DR @ STRANDHERD DR,367175.7632,5014824.428,-75.70507,45.27061,2017-11-02,7:30:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Greenbelt
11542,PRINCE OF WALES DR @ STRANDHERD DR,367175.2898,5014824.664,-75.70508,45.27061,2017-12-13,9:23:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11543,PRINCE OF WALES DR @ STRANDHERD DR,367174.7803,5014824.191,-75.70508,45.27061,2017-11-15,7:50:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11544,PRINCE OF WALES DR @ STRANDHERD DR,367174.2865,5014824.86,-75.70509,45.27061,2017-11-30,8:50:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11545,PRINCE OF WALES DR @ STRANDHERD DR,367175.2898,5014824.428,-75.70508,45.27061,2017-11-03,8:38:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Greenbelt
11546,PRINCE OF WALES DR @ STRANDHERD DR,367175.6658,5014823.619,-75.70507,45.2706,2017-01-16,8:41:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Greenbelt
11547,PRINCE OF WALES DR @ STRANDHERD DR,367174.7758,5014824.057,-75.70508,45.27061,2017-03-03,2:10:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,07 - SMV other,Greenbelt
11548,PRINCE OF WALES DR @ STRANDHERD DR,367175.6243,5014822.853,-75.70507,45.2706,2017-03-28,10:45:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,99 - Other,Greenbelt
11549,PRINCE OF WALES DR @ STRANDHERD DR,367175.6243,5014825.529,-75.70507,45.27062,2017-03-17,5:10:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Greenbelt
11550,PRINCE OF WALES DR @ WATERFORD DR,367362.8641,5021037.182,-75.7019,45.3265,2017-07-27,2:02:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Industrial Park
11551,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367459.7136,5021891.503,-75.70056,45.33417,2017-05-05,6:46:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
11552,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367459.1534,5021891.476,-75.70057,45.33417,2017-06-08,4:13:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Industrial Park
11553,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367459.0448,5021891.503,-75.70057,45.33417,2017-05-29,5:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
11554,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367459.0448,5021892.172,-75.70057,45.33418,2017-05-01,8:31:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,99 - Other,Industrial Park
11555,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367459.7136,5021890.834,-75.70056,45.33417,2017-06-06,5:16:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,07 - SMV other,Industrial Park
11556,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367457.4926,5021891.808,-75.70059,45.33418,2017-07-17,5:53:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Industrial Park
11557,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367458.7103,5021891.503,-75.70057,45.33417,2017-07-07,4:00:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Industrial Park
11558,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367458.7013,5021891.526,-75.70057,45.33417,2017-08-19,1:42:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Industrial Park
11559,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367458.3759,5021892.841,-75.70057,45.33419,2017-11-01,1:34:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Industrial Park
11560,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367460.3496,5021892.05,-75.70055,45.33418,2017-10-11,10:45:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Industrial Park
11561,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367459.1572,5021891.28,-75.70056,45.33417,2017-09-06,4:55:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Industrial Park
11562,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367458.2369,5021891.267,-75.70058,45.33417,2017-10-21,5:06:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,05 - Dusk,03 - P.D. only,03 - Rear end,Industrial Park
11563,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367458.7103,5021892.213,-75.70057,45.33418,2017-10-24,10:24:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,Industrial Park
11564,PRINCE OF WALES DR @ WEST HUNT CLUB RD,367458.7103,5021891.775,-75.70057,45.33418,2017-10-18,3:05:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Industrial Park
